来源文件,用户ID,交易单号,账户假名,账户真实姓名,借贷类型,资金方向_按账户,交易业务类型,交易用途类型,原始交易时间,映射案情时间,时间映射规则,时间映射说明,交易金额_元,账户余额_元,对手方ID,对手假名,对手真实姓名,对手侧银行名称,备注,是否案件映射人物,是否案件核心对手方
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,1.0,张三,王静,入,收入,余额支付,转账,2023-07-14 23:48:00,2008-08-15 00:00:00,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,15,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,2.0,张三,王静,入,收入,余额支付,转账,2023-07-21 23:28:00,2008-08-15 05:28:24,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,30,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,3.0,张三,王静,入,收入,余额支付,转账,2023-07-21 23:28:00,2008-08-15 05:28:24,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,45,75,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,4.0,张三,王静,入,收入,余额支付,转账,2023-07-21 23:35:00,2008-08-15 05:28:38,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,90,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,5.0,张三,王静,入,收入,余额支付,转账,2023-07-28 23:36:00,2008-08-15 10:57:44,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,105,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,6.0,张三,王静,入,收入,快捷支付,转账,2023-07-28 23:53:00,2008-08-15 10:58:17,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,120,s3ns3n-3343,罗宇,王静,湖南农信,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,7.0,张三,王静,出,支出,余额支付,转账,2023-07-28 23:55:00,2008-08-15 10:58:21,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,120,0,lijinteng971018,张三,王静,,微信转账；微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,8.0,张三,王静,入,收入,余额支付,转账,2023-08-23 23:28:00,2008-08-16 07:19:44,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,25,25,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,10.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 21:56:00,2008-08-17 01:17:57,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,32,48,4xydmn0315,陈三一,王静,福建农信银行,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,11.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 21:56:00,2008-08-17 01:17:57,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,25,73,4xydmn0315,陈三一,王静,福建农信银行,微信红包；恭喜发财，大吉大利,True,True
